period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.678645,17.26027397,70
2036-07,32.07545833,17.26027397,120
2036-08,32.47227167,17.26027397,120
2036-09,32.887857,17.26027397,120
2036-10,33.29059833,17.26027397,120
2036-11,33.15092767,17.26027397,120
2036-12,33.011257,17.26027397,120
2037-01,40.23290367,23.42465753,120
2037-02,40.18781033,23.42465753,120
2037-03,40.135801,23.42465753,120
2037-04,40.08379167,23.42465753,120
2037-05,40.17010233,23.42465753,120
2037-06,40.169469,23.42465753,120
2037-07,40.16883567,23.42465753,120
2037-08,40.16820233,23.42465753,120
2037-09,40.168557,23.42465753,120
2037-10,40.16792367,23.42465753,120
2037-11,40.16729033,23.42465753,120
2037-12,40.166657,23.42465753,120
2038-01,45.56340633,30.82191781,120
2038-02,42.75481567,30.82191781,120
2038-03,39.728865,30.82191781,120
2038-04,36.60411433,30.82191781,120
2038-05,33.47639967,30.82191781,120
2038-06,30.347697,30.82191781,120
2038-07,27.21899433,30.82191781,120
2038-08,24.09029167,30.82191781,120
2038-09,20.961589,30.82191781,120
2038-10,17.83288633,30.82191781,120
2038-11,14.70418367,30.82191781,120
2038-12,11.575481,30.82191781,120
2039-01,19.48881433,39.45205479,120
2039-02,20.03166767,39.45205479,120
2039-03,20.125969,39.45205479,120
2039-04,20.13233833,39.45205479,120
2039-05,20.13376767,39.45205479,120
2039-06,20.133221,39.45205479,120
2039-07,20.13267433,39.45205479,120
2039-08,20.13212767,39.45205479,120
2039-09,20.131581,39.45205479,120
2039-10,20.13103433,39.45205479,120
2039-11,20.13048767,39.45205479,120
2039-12,20.129941,39.45205479,120
2040-01,20.128225,48.08219178,120
2040-02,20.058337,48.08219178,120
2040-03,20.058597,48.08219178,120
2040-04,20.057869,48.08219178,120
2040-05,20.058129,48.08219178,120
2040-06,20.058389,48.08219178,120
2040-07,20.058649,48.08219178,120
2040-08,20.058909,48.08219178,120
2040-09,20.059169,48.08219178,120
2040-10,20.059429,48.08219178,120
2040-11,20.059689,48.08219178,120
2040-12,20.059949,48.08219178,120
